ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
ec00071__PK__KEGG	Fatty acid degradation	78	20	CNAG_00115,CNAG_00648,CNAG_00735,CNAG_01558,CNAG_01615,CNAG_01846,CNAG_01896,CNAG_02562,CNAG_02655,CNAG_02933,CNAG_03019,CNAG_04531,CNAG_05721,CNAG_05723,CNAG_05842,CNAG_06169,CNAG_06628,CNAG_06759,CNAG_07745,CNAG_07747,	25.6	2.93	3.98	4.80734269468e-06	0.000682642662644	0.000682642662644
ec00620__PK__KEGG	Pyruvate metabolism	113	23	CNAG_00115,CNAG_00162,CNAG_00484,CNAG_00735,CNAG_01128,CNAG_01558,CNAG_01615,CNAG_01686,CNAG_01846,CNAG_01896,CNAG_02655,CNAG_02933,CNAG_03225,CNAG_03596,CNAG_04217,CNAG_04219,CNAG_05236,CNAG_05723,CNAG_06169,CNAG_06602,CNAG_06628,CNAG_06759,CNAG_07745,	20.4	2.33	2.96	5.66227060453e-05	0.00402021212922	0.00804042425843
ec00930__PK__KEGG	Caprolactam degradation	52	13	CNAG_00984,CNAG_01044,CNAG_01615,CNAG_01896,CNAG_02505,CNAG_02562,CNAG_04531,CNAG_05721,CNAG_05723,CNAG_06169,CNAG_06628,CNAG_07745,CNAG_07862,	25.0	2.86	3.71	0.00032973420868	0.011268176128	0.0468222576325
ec00030__PK__KEGG	Pentose phosphate pathway	80	17	CNAG_00057,CNAG_00684,CNAG_00866,CNAG_00984,CNAG_01777,CNAG_01984,CNAG_02133,CNAG_02230,CNAG_02655,CNAG_03040,CNAG_03245,CNAG_03916,CNAG_03992,CNAG_05847,CNAG_06628,CNAG_06770,CNAG_06923,	21.3	2.43	3.04	0.000335763349044	0.011268176128	0.0476783955643
ec00710__PK__KEGG	Carbon fixation in photosynthetic organisms	40	11	CNAG_00057,CNAG_00684,CNAG_00866,CNAG_02230,CNAG_03040,CNAG_03225,CNAG_04217,CNAG_06026,CNAG_06088,CNAG_06770,CNAG_06923,	27.5	3.15	4.19	0.00039676676507	0.011268176128	0.0563408806399
ec00626__PK__KEGG	Naphthalene degradation	106	20	CNAG_00115,CNAG_00484,CNAG_01558,CNAG_01615,CNAG_01777,CNAG_01846,CNAG_01896,CNAG_02562,CNAG_02655,CNAG_02673,CNAG_02933,CNAG_03564,CNAG_03991,CNAG_05521,CNAG_05723,CNAG_05842,CNAG_06169,CNAG_06759,CNAG_07745,CNAG_07862,	18.9	2.16	2.64	0.0005334527096	0.0126250474605	0.0757502847632
ec00592__PK__KEGG	alpha-Linolenic acid metabolism	94	18	CNAG_00115,CNAG_00488,CNAG_01558,CNAG_01615,CNAG_01896,CNAG_02655,CNAG_02933,CNAG_04443,CNAG_04531,CNAG_04934,CNAG_05077,CNAG_05607,CNAG_05721,CNAG_05723,CNAG_06169,CNAG_06759,CNAG_07745,CNAG_07747,	19.1	2.19	2.67	0.000858965866204	0.017424736143	0.121973153001
ec00010__PK__KEGG	Glycolysis / Gluconeogenesis	126	21	CNAG_00057,CNAG_00115,CNAG_00484,CNAG_00735,CNAG_01558,CNAG_01615,CNAG_01896,CNAG_02655,CNAG_02933,CNAG_03596,CNAG_03769,CNAG_03791,CNAG_03916,CNAG_04217,CNAG_04659,CNAG_05723,CNAG_06169,CNAG_06628,CNAG_06759,CNAG_06770,CNAG_07745,	16.7	1.91	2.26	0.00210743558106	0.0374069815638	0.29925585251
ec00401__PK__KEGG	Novobiocin biosynthesis	14	5	CNAG_03808,CNAG_05676,CNAG_05820,CNAG_06026,CNAG_06088,	35.7	4.09	5.96	0.00500330992086	0.0789411120847	0.710470008762
ec00400__PK__KEGG	Phenylalanine, tyrosine and tryptophan biosynthesis	86	15	CNAG_00605,CNAG_00685,CNAG_01865,CNAG_02673,CNAG_02933,CNAG_03808,CNAG_04879,CNAG_05095,CNAG_05676,CNAG_05721,CNAG_05820,CNAG_06026,CNAG_06074,CNAG_06088,CNAG_07745,	17.4	2.0	2.33	0.00604159172238	0.0824134363369	0.857906024577
ec00982__PK__KEGG	Drug metabolism - cytochrome P450	87	15	CNAG_00115,CNAG_01558,CNAG_01615,CNAG_01896,CNAG_02475,CNAG_02655,CNAG_02933,CNAG_03187,CNAG_03564,CNAG_05723,CNAG_05842,CNAG_06169,CNAG_06628,CNAG_06759,CNAG_07745,	17.2	1.97	2.3	0.00675291404843	0.0824134363369	0.958913794877
ec00830__PK__KEGG	Retinol metabolism	104	17	CNAG_00115,CNAG_00605,CNAG_01558,CNAG_01615,CNAG_01896,CNAG_02655,CNAG_02933,CNAG_03113,CNAG_05095,CNAG_05721,CNAG_05723,CNAG_05842,CNAG_06074,CNAG_06169,CNAG_06628,CNAG_06759,CNAG_07745,	16.3	1.87	2.17	0.00696451574678	0.0824134363369	0.988961236043
ec00625__PK__KEGG	Chloroalkane and chloroalkene degradation	105	17	CNAG_00115,CNAG_00605,CNAG_00735,CNAG_00961,CNAG_01558,CNAG_01615,CNAG_01896,CNAG_02655,CNAG_02933,CNAG_05095,CNAG_05721,CNAG_05723,CNAG_06074,CNAG_06169,CNAG_06628,CNAG_06759,CNAG_07745,	16.2	1.85	2.14	0.00768533394409	0.0839474938509	1.0
ec00980__PK__KEGG	Metabolism of xenobiotics by cytochrome P450	65	12	CNAG_00115,CNAG_01558,CNAG_01615,CNAG_01896,CNAG_02655,CNAG_02933,CNAG_05723,CNAG_05842,CNAG_06169,CNAG_06628,CNAG_06759,CNAG_07745,	18.5	2.11	2.48	0.0087373133471	0.086358612597	1.0
ec00440__PK__KEGG	Phosphonate and phosphinate metabolism	16	5	CNAG_01777,CNAG_01865,CNAG_03808,CNAG_05521,CNAG_05676,	31.3	3.57	4.87	0.00945267933585	0.086358612597	1.0
